primitive,threads,latency_ns
mutex_uncontended,1,4.34
mutex_contended,2,53.94
mutex_contended,3,32.62
mutex_contended,4,13.94
mutex_contended,5,20.08
mutex_contended,6,18.67
mutex_contended,7,17.13
mutex_contended,8,17.53
atomic_fetch_add,1,1.78
atomic_fetch_add,2,3.31
atomic_fetch_add,3,5.20
atomic_fetch_add,4,6.54
atomic_fetch_add,5,9.52
atomic_fetch_add,6,19.22
atomic_fetch_add,7,16.59
atomic_fetch_add,8,18.30
pthread_barrier,2,1115.40
pthread_barrier,3,2676.00
pthread_barrier,4,3314.40
pthread_barrier,5,7549.20
pthread_barrier,6,9932.60
pthread_barrier,7,11636.40
pthread_barrier,8,12586.00
